bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,dribble_overrun,foul_committed_offensive,miscontrol_aerial_won,pass_no_touch,50_50,pass_inswinging,pass_straight,ball_recovery_offensive,clearance_other,dribble_no_touch,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_follows_dribble,block_save_block,goalkeeper_shot_saved_to_post,shot_saved_to_post,half_start_late_video_start,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_success_in_play,shot_redirect,goalkeeper_lost_in_play,x,y,type_name
,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,ee74ab0a-1033-414a-8f79-e515aac87b1a,2576,,,"[42.2, 22.4]",3869685,68,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,135,France,771,['51a3c222-00ff-4e6a-9559-e5adba95efd2'],40,,,,,,,,,,,,,,,,,,,Argentina,779,00:23:40.681,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,42.2,22.4,Duel
,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,8b06ba04-9569-426e-b9f6-be8f3dd53df7,3322,,,"[12.7, 56.9]",3869685,95,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,187,France,771,['b08ba0eb-0629-4e27-aa65-d70568fd655b'],7,,,,,,,,,,,,,,,,,,,Argentina,779,00:50:07.249,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,12.7,56.9,Duel
,,,,,,,,,,,True,,,Won,Tackle,0.0,,,,,,,,,,,,35adcd26-58df-4591-9990-c65a151c1bbd,3613,,,"[38.3, 51.3]",3869685,94,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,205,Argentina,779,['6a92a890-840f-4161-9057-84622c4d2bf5'],15,,,,,,,,,,,,,,,,,,,Argentina,779,00:04:15.470,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,38.3,51.3,Duel
,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,5434a8a1-39cd-45f4-8dea-edb359ad9825,3754,,,"[19.7, 48.7]",3869685,98,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,210,Argentina,779,['698b7c6a-2644-4f77-9543-1b7ae1f8b3bf'],35,,,,,,,,,,,,,,,,,,,Argentina,779,00:08:35.306,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,19.7,48.7,Duel
,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,2b0d8ce2-6611-4a77-b167-50e8f6281533,4383,,,"[9.0, 54.9]",3869685,123,,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,Enzo Fernandez,38718.0,Right Center Midfield,247,France,771,['81e88fa1-4c5c-4ca9-b424-c1c03620a767'],58,,,,,,,,,,,,,,,,,,,Argentina,779,00:18:58.924,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,9.0,54.9,Duel
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,73fa3246-7f92-47dd-97eb-a59e977cdd29,924,,Won,"[68.7, 64.1]",3869685,30,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,46,Argentina,779,['f6facad1-92eb-4fa8-95cd-1aa1f20bec49'],32,,,,,,,,,,,,,,,,,,,Argentina,779,00:30:32.654,Interception,,,,,,,,,,,,,,,,,,,,,,,,,68.7,64.1,Interception
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,6c52b30a-a132-4ef7-bc09-a536a48af70a,93,,,"[27.2, 17.9]",3857264,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,9,Argentina,779,['acd91133-cb41-4ba6-a2d7-6119b386ff01'],23,,,,,,,,,,,,,,,,,,,Argentina,779,00:03:23.835,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,27.2,17.9,Duel
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,07f46ac7-2e9a-4b38-b6ee-061af384b4b3,514,,,"[13.4, 14.4]",3857264,12,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,27,Argentina,779,['e056caff-c056-4bf7-a24f-d161556e0948'],38,,,,,,,,,,,,,,,,,,,Argentina,779,00:12:38.710,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,13.4,14.4,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,2c16a276-cd8d-49d2-a04c-660fa4d70404,1968,,,"[72.6, 57.0]",3857264,51,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,88,Poland,789,['78c5a397-bc68-497f-a0e3-3f91e1df5e30'],9,,,,,,,,,,,,,,,,,,,Argentina,779,00:06:09.128,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,72.6,57.0,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,091f401d-c245-447e-a73d-f64d9b046308,2053,,,"[44.8, 17.9]",3857264,53,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,91,Poland,789,['3273a1fa-13fe-4875-92ca-2a9daa02c725'],14,,,,,,,,,,,,,,,,,,,Argentina,779,00:08:14.032,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,44.8,17.9,Duel
