type,location,progression_zone,reception_zone
Pass,"[63.5, 47.0]",6,8
Pass,"[73.9, 53.5]",9,9
Pass,"[44.2, 43.2]",6,5
Pass,"[53.4, 44.4]",9,5
Pass,"[62.6, 71.7]",5,9
Pass,"[31.7, 51.8]",5,5
Pass,"[80.2, 55.2]",12,9
Pass,"[116.5, 55.8]",11,12
Pass,"[56.5, 59.3]",6,6
Pass,"[59.7, 64.5]",9,6
Pass,"[86.3, 53.8]",8,9
Pass,"[89.1, 15.9]",7,7
Pass,"[86.7, 36.3]",11,8
Carry,"[54.6, 63.2]",6,6
Carry,"[53.9, 34.1]",5,5
Carry,"[73.6, 44.7]",8,8
Carry,"[63.2, 54.4]",5,9
Carry,"[42.3, 72.5]",6,6
Carry,"[59.9, 64.6]",9,6
Carry,"[76.7, 58.5]",9,9
Carry,"[19.3, 54.0]",3,3
Carry,"[42.9, 72.6]",6,6
Carry,"[57.0, 43.8]",5,5
Carry,"[62.5, 16.3]",4,7
Carry,"[49.2, 31.6]",5,5
Carry,"[72.2, 46.1]",8,8
Carry,"[69.1, 52.3]",8,8
Carry,"[62.5, 46.8]",9,8
Carry,"[44.1, 44.0]",6,5
Carry,"[68.6, 76.6]",9,9
Carry,"[75.5, 52.7]",9,8
Carry,"[73.6, 58.2]",9,9
Carry,"[42.6, 54.6]",5,6
Carry,"[47.6, 37.3]",5,5
Carry,"[63.5, 51.7]",9,8
Carry,"[56.8, 64.2]",6,6
Carry,"[96.8, 73.4]",12,12
Carry,"[47.8, 49.3]",5,5
Carry,"[39.2, 41.7]",5,5
Carry,"[25.7, 15.6]",1,1
Carry,"[56.6, 39.7]",5,5
Carry,"[38.3, 26.4]",4,4
Carry,"[76.3, 60.8]",9,9
Carry,"[31.1, 39.9]",5,5
Carry,"[36.3, 42.5]",5,5
Carry,"[24.9, 9.8]",1,1
Carry,"[54.4, 61.2]",9,6
Carry,"[54.6, 43.3]",5,5
Carry,"[41.0, 63.5]",6,6
Carry,"[61.5, 64.3]",9,9
Carry,"[65.3, 58.3]",9,9
Carry,"[70.7, 76.8]",9,9
Carry,"[64.9, 66.1]",9,9
Carry,"[65.5, 46.4]",8,8
Carry,"[47.6, 65.9]",6,6
Carry,"[63.3, 49.7]",8,8
Carry,"[66.3, 46.4]",8,8
Carry,"[45.4, 50.5]",5,5
Carry,"[71.7, 51.1]",9,8
Carry,"[44.5, 43.6]",5,5
Carry,"[54.7, 41.3]",5,5
Carry,"[57.6, 71.4]",9,6
Carry,"[31.7, 51.8]",5,5
Carry,"[62.6, 56.9]",9,9
Carry,"[104.2, 57.0]",12,12
Carry,"[106.4, 56.0]",12,12
Carry,"[90.8, 49.1]",11,11
Carry,"[43.6, 50.1]",6,5
Carry,"[55.8, 62.2]",6,6
Carry,"[87.7, 51.4]",9,8
Carry,"[90.2, 15.4]",7,10
Carry,"[86.7, 36.3]",8,8
Carry,"[94.2, 48.7]",11,11
Pass,"[54.8, 37.8]",6,5
Pass,"[56.5, 39.7]",8,5
Pass,"[34.3, 50.2]",6,5
Pass,"[88.0, 23.9]",10,7
Pass,"[33.9, 51.1]",12,5
Pass,"[68.3, 51.1]",9,8
Pass,"[31.5, 26.0]",1,4
Pass,"[55.2, 37.6]",9,5
Pass,"[57.6, 17.7]",4,4
Pass,"[47.8, 28.4]",5,5
Pass,"[31.7, 48.5]",1,5
Pass,"[56.1, 33.9]",9,5
Pass,"[74.7, 33.3]",8,8
Pass,"[68.7, 22.6]",5,7
Pass,"[54.4, 24.3]",4,4
Pass,"[77.9, 57.5]",9,9
Pass,"[39.6, 28.0]",6,5
Pass,"[64.4, 23.9]",7,7
Pass,"[87.1, 18.1]",10,7
Pass,"[85.8, 45.5]",11,8
Pass,"[87.8, 51.3]",12,8
Pass,"[62.7, 42.7]",5,8
Pass,"[70.4, 52.1]",9,8
Pass,"[57.4, 33.5]",4,5
Pass,"[53.5, 23.9]",5,4
Pass,"[80.7, 23.2]",7,7
Pass,"[80.1, 14.7]",7,7
Pass,"[74.7, 10.0]",5,7
Pass,"[42.0, 13.8]",4,4
Pass,"[43.1, 25.0]",5,4
Pass,"[39.6, 43.8]",4,5
Pass,"[37.5, 44.6]",5,5
Pass,"[48.2, 20.7]",5,4
Pass,"[37.1, 32.0]",6,5
Pass,"[37.5, 61.1]",6,6
Pass,"[54.4, 40.6]",10,5
Pass,"[37.5, 66.7]",6,6
Pass,"[38.5, 33.1]",5,5
Pass,"[29.8, 33.1]",1,2
Pass,"[36.4, 22.4]",4,4
Pass,"[79.0, 16.0]",7,7
Pass,"[76.9, 13.4]",7,7
Pass,"[68.7, 19.8]",5,7
Pass,"[47.3, 41.9]",6,5
Pass,"[87.7, 53.0]",11,8
Pass,"[39.4, 35.0]",4,5
Pass,"[31.3, 77.2]",6,6
Pass,"[58.4, 67.1]",9,6
Pass,"[39.4, 22.0]",7,4
Pass,"[36.4, 69.3]",6,6
Pass,"[42.2, 68.2]",6,6
Pass,"[57.2, 20.7]",4,4
Pass,"[46.9, 59.4]",5,6
Pass,"[50.1, 55.6]",6,6
Pass,"[43.9, 49.6]",5,5
Pass,"[19.7, 68.0]",6,3
Pass,"[80.0, 51.3]",9,8
Pass,"[49.2, 15.4]",4,4
Pass,"[55.9, 27.5]",9,5
Pass,"[57.6, 61.1]",9,6
Pass,"[63.4, 66.7]",6,9
Pass,"[70.8, 66.0]",9,9
Pass,"[50.3, 45.5]",6,5
Pass,"[44.7, 48.1]",4,5
Pass,"[63.8, 59.2]",8,9
Pass,"[57.6, 49.8]",10,5
Pass,"[45.2, 51.9]",6,5
Pass,"[44.1, 59.0]",6,6
Pass,"[37.3, 50.0]",5,5
Pass,"[21.0, 28.8]",5,2
Pass,"[36.0, 25.6]",4,4
Pass,"[45.2, 36.3]",5,5
Pass,"[71.5, 53.4]",9,9
Pass,"[83.9, 54.5]",10,9
Pass,"[36.6, 54.1]",5,6
Pass,"[44.6, 44.9]",6,5
Pass,"[39.8, 35.7]",5,5
Pass,"[35.8, 62.2]",6,6
Pass,"[21.0, 48.9]",2,2
Pass,"[51.6, 68.0]",6,6
Pass,"[40.1, 71.6]",6,6
Pass,"[65.3, 37.4]",8,8
Pass,"[67.7, 43.4]",5,8
Pass,"[77.9, 54.7]",8,9
Pass,"[50.1, 73.5]",12,6
Pass,"[95.4, 49.4]",12,11
Pass,"[49.7, 57.9]",7,6
Pass,"[61.0, 40.1]",5,8
Pass,"[63.1, 62.8]",12,9
Pass,"[82.6, 59.0]",9,9
Pass,"[79.2, 43.6]",10,8
Pass,"[83.2, 80.0]",12,9
Pass,"[64.2, 27.8]",8,8
Pass,"[42.8, 54.1]",6,6
Carry,"[54.4, 37.8]",5,5
Carry,"[35.1, 53.0]",5,5
Carry,"[84.1, 21.3]",7,7
Carry,"[27.9, 48.1]",5,2
Carry,"[64.7, 49.3]",8,8
Carry,"[56.1, 33.5]",5,5
Carry,"[57.2, 17.7]",4,4
Carry,"[29.6, 47.8]",5,2
Carry,"[54.8, 32.9]",5,5
Carry,"[68.5, 23.0]",7,7
Carry,"[69.6, 53.8]",8,9
Carry,"[74.3, 56.8]",9,9
Carry,"[38.8, 26.7]",5,5
Carry,"[68.7, 64.1]",7,9
Carry,"[87.1, 18.8]",7,7
Carry,"[82.2, 44.0]",8,8
Carry,"[87.8, 51.1]",8,8
Carry,"[63.8, 48.3]",8,8
Carry,"[44.3, 49.3]",8,5
Carry,"[57.4, 33.5]",5,5
Carry,"[56.3, 25.6]",4,4
Carry,"[80.3, 27.7]",7,8
Carry,"[81.3, 12.3]",7,7
Carry,"[74.1, 8.1]",7,7
Carry,"[42.0, 14.1]",4,4
Carry,"[43.1, 24.1]",4,4
Carry,"[38.8, 44.9]",5,5
Carry,"[37.1, 32.0]",5,5
Carry,"[43.7, 41.4]",5,5
Carry,"[28.3, 32.9]",2,2
Carry,"[79.0, 11.1]",7,7
Carry,"[74.7, 18.3]",7,7
Carry,"[47.5, 37.6]",5,5
Carry,"[88.2, 54.7]",8,9
Carry,"[74.9, 11.3]",7,7
Carry,"[39.4, 35.0]",5,5
Carry,"[31.3, 77.8]",6,6
Carry,"[58.0, 69.7]",6,6
Carry,"[57.2, 20.7]",4,4
Carry,"[41.3, 64.3]",6,6
Carry,"[50.9, 56.6]",6,6
Carry,"[48.8, 53.9]",5,6
Carry,"[98.2, 31.8]",11,11
Carry,"[19.7, 68.0]",3,3
Carry,"[80.3, 51.3]",8,8
Carry,"[47.1, 22.8]",4,4
Carry,"[55.9, 25.4]",5,4
Carry,"[58.4, 64.8]",9,6
Carry,"[69.6, 66.9]",9,9
Carry,"[43.9, 49.4]",5,5
Carry,"[90.9, 31.2]",11,11
Carry,"[55.4, 63.1]",9,6
Carry,"[39.4, 60.3]",6,6
Carry,"[20.6, 31.2]",2,2
Carry,"[33.9, 23.5]",4,4
Carry,"[72.8, 58.3]",9,9
Carry,"[78.8, 59.8]",9,9
Carry,"[38.3, 51.3]",6,5
Carry,"[41.8, 29.2]",5,5
Carry,"[34.3, 52.1]",6,5
Carry,"[35.1, 70.5]",6,6
Carry,"[19.7, 48.7]",2,2
Carry,"[41.6, 71.4]",6,6
Carry,"[65.7, 37.4]",8,8
Carry,"[71.7, 38.9]",8,8
Carry,"[73.0, 58.5]",9,9
Carry,"[45.6, 76.1]",6,6
Carry,"[95.4, 49.4]",11,11
Carry,"[56.5, 52.8]",6,5
Carry,"[57.6, 57.5]",9,6
Carry,"[79.4, 43.6]",8,8
Carry,"[42.8, 54.1]",6,6
Carry,"[56.1, 22.0]",4,4
Pass,"[31.1, 37.3]",2,5
Pass,"[44.3, 22.9]",4,4
Pass,"[76.0, 42.2]",9,8
Pass,"[51.3, 31.3]",5,5
Pass,"[62.6, 22.8]",8,7
Pass,"[65.0, 36.7]",8,8
Pass,"[42.5, 40.6]",6,5
Pass,"[56.9, 42.5]",6,5
Pass,"[73.7, 60.4]",12,9
Pass,"[76.3, 60.6]",12,9
Pass,"[30.1, 42.5]",6,5
Pass,"[52.4, 51.9]",7,5
Pass,"[88.7, 31.7]",10,8
Pass,"[74.7, 34.1]",9,8
Pass,"[44.3, 26.7]",7,5
Pass,"[29.0, 39.9]",4,2
Pass,"[53.4, 54.5]",9,6
Pass,"[24.9, 40.1]",6,2
Pass,"[38.2, 56.9]",6,6
Pass,"[74.4, 38.5]",9,8
Pass,"[88.7, 62.7]",9,9
Pass,"[84.9, 61.6]",8,9
Pass,"[69.2, 11.9]",8,7
Pass,"[44.5, 40.1]",6,5
Pass,"[82.4, 28.3]",8,8
Pass,"[80.8, 49.8]",8,8
Pass,"[50.9, 33.1]",9,5
Pass,"[63.9, 59.6]",9,9
Pass,"[61.0, 31.3]",9,8
Pass,"[70.6, 52.7]",6,8
Pass,"[75.3, 33.6]",9,8
Pass,"[66.4, 43.0]",7,8
